Date,Description,Amount
2024-05-01,Salary Credited,60000
2024-05-03,Zomato Order,-520
2024-05-04,Uber Ride,-210
2024-05-06,Amazon Shopping,-3200
2024-05-08,Swiggy Order,-470
2024-05-10,ATM Withdrawal,-5000
2024-05-12,Rent Payment,-12000
2024-05-15,PhonePe Transfer,-2300
2024-05-17,Ola Ride,-300
2024-05-18,Medical Store,-650
2024-05-19,Flipkart Purchase,-2500
2024-05-20,Interest Credited,300
2024-05-22,Electricity Bill,-1400
2024-05-25,Zomato Order,-550
2024-05-28,Uber Ride,-220
2024-05-30,Salary Credited,60000
2024-06-01,Phone Recharge,-349
2024-06-02,Swiggy Order,-490
2024-06-04,Rent Payment,-12000
2024-06-06,Ola Ride,-280
2024-06-07,Amazon Shopping,-2700
2024-06-08,Interest Credited,310
